,eigen
[ROAD]245421628,6.826834536511273e-08
[ROAD]245421629,6.351969126718651e-11
[ROAD]245421630,2.804499827444691e-13
[ROAD]245421632,1.1050664594454587e-11
"[BUS]19.931388,50.046161",2.4034915548462316e-08
"[BUS]19.932828,50.045347",1.4079968225275425e-06
[ROAD]245422238,6.916333250899451e-08
[ROAD]245422433,1.0872538762509113e-09
"[BUS]19.925562,50.038381",7.67168990619055e-13
[ROAD]4948357586,1.2644880724543088e-14
[ROAD]245423745,3.0347417730183304e-19
[ROAD]1781427610,7.044051741582446e-14
[ROAD]245423860,1.2103246858252767e-21
[ROAD]245424148,2.0536554015573846e-16
[ROAD]245424213,7.419375745664902e-17
[ROAD]245424450,9.559896635701993e-22
[ROAD]245424453,1.6264126020277403e-23
[ROAD]245424454,3.9412039183403305e-24
[ROAD]245424554,6.51248412578457e-21
[ROAD]245424556,1.0870116901425577e-22
[ROAD]2019014574,2.414899960171949e-24
[ROAD]245424752,3.925657330100733e-19
[ROAD]245424975,7.404040811670257e-15
[ROAD]2974292842,1.734352246005559e-09
[ROAD]245425131,4.546978545243663e-13
[ROAD]245425132,3.77199600339184e-22
[ROAD]245425133,2.231356475858405e-20
[ROAD]245425134,1.7204642955417942e-15
[ROAD]245425135,7.453750438051043e-15
[ROAD]245425255,5.9985184474200104e-12
[ROAD]245425256,7.976676616266163e-21
[ROAD]245425459,7.28436751739429e-21
[ROAD]1865655320,4.437902911855807e-19
[ROAD]245425739,1.598465437803304e-15
[ROAD]245425749,4.363817063582452e-19
[ROAD]245425832,4.610779690788457e-19
[ROAD]245425862,2.63163039611928e-17
[ROAD]245426033,1.8262312200594022e-24
[ROAD]245426342,1.4496006719611634e-15
"[BUS]19.925978,50.022292",8.873926089758023e-14
[ROAD]245426531,3.4922309464041184e-18
[ROAD]245481981,2.065662216464784e-16
[ROAD]245482839,5.9951874620045085e-18
"[BUS]19.927423,50.051875",2.8308099071103892e-08
"[BUS]19.926956,50.05143",8.722027246364712e-10
[ROAD]245485645,4.1019999942919755e-10
"[BUS]19.925104,50.047266",7.503598260143308e-09
[ROAD]278234323,4.777997509216047e-13
[ROAD]245485668,1.7769156607840885e-11
[ROAD]289259016,7.053501967831666e-10
[ROAD]245486185,4.135921496723609e-07
[ROAD]245486302,7.682773897421826e-09
[ROAD]245486369,1.4316776299482046e-09
[ROAD]245486446,2.0339972577905755e-10
